,Referred_a_Friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Regular_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Gender,Age,Married,Number_of_Dependents,Zip_Code,Population,CLTV,Churn_Category,Total_Customer_Svc_Requests,Product/Service_Issues_Reported,Customer_Satisfaction,Churn_Value
3,1,1,25,3.0,1,19.76,0,1,1.0,13,0,1,1,0,1,1,0,0,3,1,1,102.44,2514.5,13.43,327.0,494.00000000000006,2,78,1,1,90303,27778,5337,2.0,1,1,1,1
4,1,1,37,3.0,1,6.33,1,1,2.0,15,0,0,0,0,0,0,0,0,3,1,1,79.56,2868.15,0.0,430.0,234.21,2,80,1,1,90602,26265,2793,3.0,1,0,1,1
5,0,0,27,3.0,1,3.33,1,1,1.0,20,0,0,1,0,0,0,0,0,3,1,1,81.172,2135.5,0.0,427.0,89.91,2,72,0,1,90660,63288,4638,1.0,0,0,1,1
6,1,1,1,5.0,1,15.28,0,1,2.0,33,0,0,0,0,0,0,0,0,3,1,3,73.268,70.45,0.0,0.0,15.28,2,76,1,2,90720,21343,3964,5.0,7,0,1,1
7,1,6,58,2.0,0,0.0,0,1,2.0,26,0,1,1,0,0,1,0,0,3,1,1,47.112,2651.2,40.95,689.0,0.0,1,66,1,0,91024,10558,5444,2.0,2,1,1,1
8,0,0,15,4.0,1,44.07,1,1,2.0,21,0,0,0,0,0,0,0,0,3,1,3,77.42800000000001,1145.7,0.0,241.0,661.05,2,70,0,2,91106,23742,5717,2.0,3,0,1,1
9,0,0,7,5.0,1,26.95,0,1,3.0,20,1,0,0,0,0,0,0,0,3,0,1,79.50800000000001,503.6,11.05,101.0,188.65,2,77,0,2,91107,32369,4419,3.0,3,0,1,1
10,0,0,11,4.0,1,11.59,0,1,3.0,32,0,1,0,0,1,1,0,0,3,1,1,98.8,1120.3,0.0,358.0,127.49,2,78,0,1,91605,57146,5980,2.0,2,2,1,1
11,0,0,15,4.0,1,29.11,0,1,3.0,32,0,1,0,0,0,0,0,0,3,1,1,77.376,1074.3,0.0,344.0,436.65,1,65,0,0,91722,33817,4616,1.0,0,0,1,1
12,1,1,1,5.0,0,0.0,0,1,2.0,13,0,1,0,0,1,0,0,1,3,0,1,41.80800000000001,40.2,0.0,0.0,0.0,1,77,1,0,91732,62660,5828,2.0,2,0,1,1
13,0,0,3,5.0,0,0.0,0,1,3.0,31,0,0,1,0,0,1,1,0,3,1,1,42.796,132.2,0.0,41.0,0.0,1,67,0,0,91746,30802,2314,3.0,7,1,1,1
14,0,0,13,4.0,1,32.68,1,1,2.0,12,0,1,1,0,1,1,0,0,3,1,1,111.17600000000002,1364.3,0.0,164.0,424.84,1,68,0,0,91748,46342,2494,1.0,1,2,1,1
15,0,0,16,4.0,1,9.43,0,1,1.0,10,0,0,0,1,1,1,1,0,3,1,1,98.228,1511.2,0.0,151.0,150.88,2,68,0,0,91764,49474,3810,1.0,0,0,1,1
16,0,0,8,3.5,1,1.78,0,1,2.0,8,0,1,0,0,0,0,0,1,3,1,1,77.48,606.55,0.0,0.0,14.24,1,66,0,0,91901,16486,4345,2.0,5,2,1,1
17,0,0,24,3.0,1,30.87,1,1,1.0,16,0,0,0,0,0,0,0,1,3,1,1,79.14399999999999,1712.7,0.0,0.0,740.88,1,69,0,0,92122,34902,2018,1.0,0,0,1,1
18,0,0,4,5.0,1,31.61,1,1,2.0,2,0,0,0,0,1,1,0,0,3,1,1,99.268,396.1,0.0,8.0,126.44,2,74,0,0,92122,34902,3677,1.0,4,0,1,1
19,1,2,32,3.0,1,47.34,1,1,3.0,11,0,0,0,0,0,0,0,0,3,1,1,77.89600000000002,2303.35,0.0,253.0,1514.88,1,76,1,0,92122,34902,4105,4.0,4,0,1,1
20,1,1,24,3.0,1,16.1,0,1,1.0,13,0,0,1,0,1,1,1,1,3,1,1,96.876,2231.05,0.0,0.0,386.4,1,77,1,0,92122,34902,2212,1.0,1,0,1,1
21,0,0,54,2.0,1,12.08,1,1,3.0,6,1,1,0,1,1,1,1,1,1,0,1,85.748,4350.1,0.0,0.0,652.32,2,70,0,0,92122,34902,4149,1.0,3,0,1,1
22,0,0,2,5.0,1,13.17,0,1,1.0,11,0,0,0,0,0,0,0,0,3,1,1,73.164,139.05,0.0,15.0,26.34,2,74,0,0,92122,34902,2671,5.0,4,0,1,1
23,0,0,21,4.25,0,0.0,0,1,3.0,9,1,0,0,0,1,0,0,1,3,1,1,43.576,840.1,0.0,0.0,0.0,2,77,0,0,92122,34902,4778,1.0,2,0,1,1
24,0,0,27,3.5,0,0.0,0,1,3.0,14,1,0,0,0,0,0,0,0,3,0,2,31.98,805.1,0.0,113.0,0.0,1,71,1,0,92122,34902,2927,1.0,2,0,1,1
25,1,1,11,2.75,1,29.54,0,0,3.0,0,0,0,0,0,0,0,0,0,3,0,3,19.95,214.75,0.0,0.0,324.94,1,79,1,0,92122,34902,5888,1.0,2,0,1,1
26,1,2,55,2.0,1,42.82,1,1,3.0,30,0,1,1,0,0,0,0,1,3,1,1,88.86800000000001,4874.7,0.0,0.0,2355.1,2,66,1,0,92122,34902,5502,1.0,4,0,1,1
27,0,0,3,5.0,1,9.22,1,1,2.0,15,0,1,0,0,0,0,0,1,3,1,1,84.604,233.7,0.0,3.51,27.660000000000004,1,77,0,0,92122,34902,2818,1.0,1,3,1,1
28,0,0,1,5.0,1,35.09,0,1,2.0,19,0,0,1,0,0,0,0,1,3,1,1,78.312,75.3,0.0,0.0,35.09,2,80,0,0,92274,17018,4902,2.0,7,1,1,1
29,0,0,5,5.0,0,0.0,0,1,2.0,29,0,1,0,0,0,0,0,0,3,0,1,29.588,131.05,0.0,38.0,0.0,2,77,0,0,92509,63999,4099,2.0,4,0,1,1
30,0,0,20,5.0,1,48.73,1,1,1.0,13,0,1,1,0,0,1,0,0,3,1,1,97.864,1782.4,0.0,232.0,974.6,2,77,0,0,92544,39264,2666,1.0,4,1,1,1
31,1,4,5,5.0,1,45.76,1,1,1.0,24,0,0,0,0,0,0,0,0,3,1,1,77.324,334.8,0.0,80.0,228.8,2,72,1,0,92557,46214,5273,2.0,4,2,1,1
32,1,2,27,4.25,1,7.02,0,1,3.0,28,1,0,0,0,0,0,0,1,3,1,1,78.20800000000001,1929.35,0.0,0.0,189.54,2,80,1,0,92571,26357,4517,4.0,1,0,1,1
33,0,0,4,3.5,1,48.35,1,1,2.0,26,0,0,1,0,1,0,0,1,3,1,1,92.768,346.2,0.0,0.0,193.4,2,74,0,0,92807,36301,5808,1.0,2,2,1,1
34,0,0,1,2.75,1,45.81,1,1,2.0,23,0,0,0,0,1,0,0,0,3,1,1,89.128,85.7,0.0,0.0,45.81,2,68,0,0,92823,1408,4880,1.0,5,1,1,1
35,1,3,65,2.0,1,18.39,1,1,2.0,31,1,0,1,0,1,1,0,1,3,0,1,109.46,6786.4,0.0,0.0,1195.35,2,78,1,0,92887,20893,4196,4.0,5,0,1,1
36,1,3,49,2.0,1,22.92,1,1,2.0,15,0,1,0,0,0,1,0,1,3,0,2,93.652,4547.25,0.0,0.0,1123.0800000000002,1,75,1,0,93067,576,5059,1.0,5,0,1,1
37,1,1,43,2.0,1,14.52,1,1,3.0,6,0,1,1,1,1,1,0,1,3,1,1,115.18,4687.9,0.0,0.0,624.36,1,77,1,0,93101,31727,2728,1.0,1,1,1,1
38,0,0,56,2.0,1,48.8,1,1,3.0,13,1,0,1,0,1,1,0,0,1,1,1,108.732,5794.65,0.0,753.0,2732.8,1,80,1,0,93201,1054,6268,1.0,0,0,1,1
39,1,7,20,2.15,1,5.31,1,1,2.0,11,0,0,0,0,1,1,1,0,3,1,1,98.332,1899.65,0.0,209.0,106.2,1,75,1,0,93208,191,5604,1.0,2,3,1,1
40,0,0,2,2.3,1,47.47,1,1,3.0,21,0,1,0,0,0,1,1,0,3,0,1,93.08,161.5,0.0,34.0,94.94,2,69,0,0,93215,37280,2065,4.0,5,0,1,1
41,0,0,8,2.45,1,27.95,0,0,2.5,0,0,0,0,0,0,0,0,0,3,0,1,19.65,164.3,0.0,0.0,223.6,2,74,0,0,93224,626,5432,4.0,6,0,1,1
42,0,0,52,2.6,0,0.0,0,1,2.0,20,0,1,0,0,1,1,1,1,3,1,1,51.116,2550.9,0.0,0.0,0.0,1,76,0,0,92592,46171,5597,1.0,1,1,1,1
43,0,0,2,2.75,1,43.99,0,1,1.0,30,1,0,0,0,0,0,0,0,3,1,1,51.22,91.1,0.0,27.0,87.98,1,69,0,0,92129,47224,3475,1.0,5,0,1,1
44,1,1,33,2.9,1,27.78,1,1,1.0,9,0,0,0,0,1,1,0,0,3,1,1,98.28,3105.55,0.0,279.0,916.74,1,72,1,0,92129,47224,4333,5.0,2,2,1,1
45,0,0,30,3.05,1,45.88,1,1,2.0,21,1,1,1,0,0,0,0,0,3,0,2,95.368,2758.15,0.0,579.0,1376.4,2,69,0,0,92129,47224,2482,1.0,4,1,1,1
46,0,0,20,3.2,1,44.44,1,1,2.0,14,0,0,1,0,1,1,0,0,3,1,1,102.492,1842.8,0.0,258.0,888.8,1,73,0,0,92129,47224,5444,1.0,5,0,1,1
47,0,0,46,3.3499999999999996,1,2.37,1,1,3.0,22,1,1,1,0,1,1,1,0,1,1,1,114.4,4874.8,0.0,1072.0,109.02,2,65,0,0,93606,807,2403,1.0,4,0,1,1
48,1,1,7,3.5,1,21.91,1,1,2.0,12,0,0,0,0,1,1,0,0,3,1,1,99.424,644.35,0.0,77.0,153.37,1,74,1,0,93662,26213,3265,1.0,1,0,1,1
49,0,0,4,3.65,1,36.93,0,1,2.0,20,0,0,0,0,1,0,0,0,3,1,1,82.00399999999999,292.8,0.0,59.0,147.72,2,65,0,0,93675,3146,5301,5.0,3,2,1,1
50,0,0,55,3.8,1,37.38,1,1,2.0,8,0,0,1,0,1,1,1,0,1,1,1,104.0,5509.3,0.0,441.0,2055.9,2,66,0,0,93706,35790,5679,1.0,6,0,1,1
51,1,1,20,3.95,1,5.37,0,1,2.0,26,0,1,0,0,0,0,0,1,3,1,1,76.596,1463.5,0.0,0.0,107.4,1,71,1,0,93928,254,5849,1.0,0,0,1,1
52,0,0,9,4.1,1,48.71,1,1,2.0,16,0,0,1,0,1,1,1,0,3,1,1,104.52,918.6,0.0,147.0,438.39,1,65,0,0,94102,28998,4038,1.0,4,1,1,1
53,0,0,10,4.25,1,5.46,0,1,3.0,26,0,1,0,0,0,0,0,0,3,1,1,75.764,688.65,0.0,179.0,54.6,1,69,0,0,94108,13723,3189,1.0,5,4,1,1
54,0,0,1,4.4,1,36.92,1,1,2.0,7,0,0,0,0,0,0,0,1,3,1,1,76.492,73.55,0.0,0.0,36.92,1,75,1,0,94114,30587,4369,3.0,2,0,1,1
55,0,0,3,4.55,1,41.9,1,1,2.0,12,0,1,0,0,0,0,0,0,3,1,1,82.57600000000001,205.05,0.0,25.0,125.7,2,75,0,0,94130,1458,3501,2.0,5,1,1,1
56,0,0,4,4.699999999999999,1,6.68,1,1,3.0,19,0,0,0,0,0,1,0,1,3,1,1,87.984,360.1,0.0,6.84,26.72,2,68,0,0,94304,1723,2467,1.0,6,1,1,1
57,0,0,35,4.85,1,20.83,1,1,2.0,21,0,0,1,0,1,1,0,1,3,1,1,103.012,3395.8,0.0,0.0,729.05,1,71,0,0,94512,138,2074,5.0,5,1,1,1
58,0,0,2,5.0,1,26.62,0,1,1.0,12,0,0,0,0,0,0,0,0,3,0,2,46.748000000000005,85.15,0.0,10.0,53.24,1,80,0,0,94514,10153,5900,5.0,5,2,1,1
59,0,0,8,5.0,1,11.57,0,1,3.0,30,1,0,0,1,1,1,1,0,3,0,2,104.312,832.35,0.0,250.0,92.56,1,66,0,0,94539,46917,5084,1.0,2,5,1,1
60,1,2,44,5.0,0,0.0,0,1,2.0,31,0,1,0,0,0,0,0,0,3,1,1,31.564000000000004,1359.7,0.0,422.0,0.0,1,73,1,0,94550,75929,4829,1.0,4,4,1,1
61,1,1,62,5.0,1,7.11,1,1,1.0,18,0,1,1,0,1,1,1,0,1,1,1,107.9,6383.35,0.0,1149.0,440.82,1,77,1,0,94558,63947,5052,1.0,1,2,1,1
62,1,1,33,5.0,1,33.19,1,1,3.0,16,0,1,0,0,0,0,0,1,3,1,1,83.824,2656.5,0.0,0.0,1095.27,2,76,1,0,94566,36669,3601,1.0,2,0,1,1
63,0,0,4,5.0,1,49.5,1,1,2.0,25,0,0,0,0,1,1,1,0,3,1,1,98.072,424.45,0.0,106.0,198.0,2,65,0,0,94583,44078,5419,1.0,0,0,1,1
64,1,1,27,5.0,1,10.6,1,1,2.0,25,0,0,0,0,0,0,0,0,3,1,1,78.52,1893.95,0.0,473.0,286.2,1,75,1,0,94588,28568,2377,1.0,1,3,1,1
65,0,0,8,5.0,1,40.45,1,1,2.0,32,0,0,1,0,1,1,0,1,3,1,1,104.624,819.4,0.0,0.0,323.6,1,75,0,0,94704,21205,5906,4.0,4,0,1,1
66,1,1,3,5.0,1,25.77,0,1,3.0,2,1,0,0,1,1,0,0,0,3,1,3,91.832,273.75,0.0,5.0,77.31,2,68,1,0,94707,11889,4486,4.0,2,0,1,1
67,0,0,8,5.0,1,42.93,0,1,2.0,10,0,0,1,0,1,1,0,1,3,1,1,95.784,729.95,0.0,0.0,343.44,2,71,0,0,94710,8157,5662,1.0,0,0,1,1
68,0,0,14,5.0,1,11.31,0,1,3.0,26,0,0,0,0,1,1,0,0,3,0,2,94.068,1266.1,0.0,329.0,158.34,1,74,0,0,94904,12010,4777,1.0,0,0,1,1
69,0,0,12,5.0,0,0.0,0,1,2.0,11,0,0,1,1,0,1,0,0,3,1,1,45.396,526.95,0.0,58.0,0.0,1,77,0,0,94933,1025,2437,1.0,2,4,1,1
70,0,0,13,5.0,1,40.37,0,1,3.0,23,0,0,1,0,0,0,0,0,3,1,1,77.272,940.35,0.0,216.0,524.81,2,73,0,0,95019,4753,2995,1.0,1,2,1,1
71,0,0,11,5.0,1,3.96,0,1,2.0,30,0,0,0,0,1,1,0,0,3,0,1,93.288,1047.7,0.0,314.0,43.56,2,68,0,0,95020,49968,2202,4.0,4,0,1,1
72,1,1,17,5.0,1,28.18,1,1,2.0,18,0,0,1,0,1,1,0,1,3,1,2,104.468,1622.45,0.0,0.0,479.06,1,74,1,0,95030,13290,5508,1.0,0,0,1,1
73,1,1,39,5.0,1,33.25,1,1,3.0,29,0,1,1,0,1,1,1,0,3,1,1,109.876,4284.8,0.0,1243.0,1296.75,1,65,1,0,95128,32804,4687,4.0,4,0,1,1
74,1,5,11,5.0,1,17.25,1,1,2.0,30,0,0,1,1,1,1,0,0,3,1,1,108.212,1133.65,0.0,340.0,189.75,2,73,1,0,95135,15798,4553,1.0,1,0,1,1
75,1,1,3,5.0,1,3.29,0,1,2.0,10,0,0,0,0,1,0,0,1,3,1,1,83.61600000000001,224.05,0.0,0.0,9.87,2,74,1,0,95232,21,3834,4.0,0,0,1,1
76,0,0,21,4.0,1,34.62,0,1,2.0,15,0,0,1,0,1,0,0,0,3,1,1,62.452,1236.15,0.0,185.0,727.02,1,80,0,0,95310,2144,4716,1.0,1,1,1,1
77,0,0,16,3.0,1,38.75,1,1,3.0,18,0,0,0,0,1,1,0,0,3,1,1,99.996,1529.2,0.0,275.0,620.0,2,76,0,0,92027,48690,5913,5.0,5,0,1,1
78,0,0,46,2.0,1,6.13,0,1,2.0,33,0,1,0,0,1,1,0,0,1,0,2,99.06,4424.2,0.0,1460.0,281.98,2,73,0,0,90712,30173,3180,1.0,1,1,1,1
79,1,1,68,1.0,1,24.13,1,1,3.0,26,0,1,0,0,0,1,0,1,3,1,1,93.184,6127.6,0.0,0.0,1640.84,2,70,1,0,95439,476,5651,1.0,0,0,1,1
80,1,1,7,5.0,1,13.63,0,1,1.0,30,0,0,0,0,1,1,0,0,3,1,1,93.08,676.7,0.0,203.0,95.41,1,75,1,0,95464,2223,3077,2.0,2,2,1,1
81,1,1,15,5.0,1,45.25,1,1,3.0,24,0,0,0,0,0,1,0,0,3,1,1,89.024,1345.55,0.0,323.0,678.75,1,74,1,0,95511,261,4981,1.0,3,5,1,1
82,0,0,16,5.0,1,19.18,1,1,2.0,24,0,0,0,0,1,0,0,1,3,1,1,90.064,1281.0,0.0,0.0,306.88,1,76,0,0,95524,1689,2508,2.0,2,2,1,1
83,0,0,1,5.0,1,29.68,0,1,2.0,20,0,0,0,0,0,0,0,0,3,1,1,72.02,69.25,0.0,0.0,29.68,2,75,0,0,95551,1447,4371,4.0,3,1,1,1
84,0,0,1,4.888888888888889,0,0.0,0,1,3.0,6,0,0,0,0,0,0,0,0,3,1,1,26.208,25.2,0.0,0.0,0.0,2,74,0,0,95562,3284,5688,1.0,2,1,1,1
85,0,0,13,4.777777777777778,1,19.03,1,1,3.0,26,0,0,0,0,1,1,1,0,3,1,1,98.852,1290.0,0.0,335.0,247.39,2,73,0,0,95618,648,2230,1.0,3,0,1,1
86,0,0,1,4.666666666666667,1,20.06,0,1,3.0,26,0,0,0,0,1,0,0,0,3,1,1,82.36800000000001,79.2,0.0,0.0,20.06,2,69,0,0,95630,51855,4363,1.0,2,0,1,1
87,1,1,34,4.555555555555555,1,2.88,1,1,1.0,4,0,1,1,0,0,1,0,1,3,1,1,98.02,3217.55,0.0,0.0,97.92,2,75,1,0,95653,844,3369,1.0,2,2,1,1
88,0,0,4,4.444444444444445,1,12.68,0,1,2.0,11,0,1,1,0,1,1,1,0,3,1,2,103.792,442.85,0.0,49.0,50.72,2,65,0,0,95668,901,2268,1.0,4,1,1,1
89,0,0,2,4.333333333333333,1,19.27,1,1,3.0,20,0,0,0,0,1,1,0,1,3,1,1,97.604,170.85,0.0,3.42,38.54,2,77,0,0,95681,1219,4193,5.0,4,0,1,1
90,0,0,9,4.222222222222222,1,30.8,1,1,3.0,20,0,0,0,0,0,1,0,0,3,1,2,87.77600000000001,732.5,0.0,146.0,277.2,1,67,0,0,95692,3600,5745,4.0,8,0,1,1
91,0,0,5,4.111111111111111,1,42.33,0,1,2.0,10,0,0,1,0,0,0,0,0,3,1,2,78.572,349.65,0.0,35.0,211.65,2,78,0,0,95742,299,4028,1.0,5,4,1,1
92,0,0,22,4.0,1,40.18,1,1,2.0,9,0,0,0,0,1,1,1,0,3,1,1,100.568,2082.95,0.0,187.0,883.96,1,65,0,0,95923,86,4458,1.0,1,0,1,1
93,0,0,19,4.0,1,39.97,1,1,2.0,10,0,1,0,0,1,0,0,0,3,1,1,91.728,1775.8,0.0,178.0,759.43,1,74,0,0,95935,614,5683,1.0,2,2,1,1
94,0,0,15,4.0,1,46.38,1,1,3.0,21,0,0,0,0,0,0,0,1,3,0,1,78.676,1146.65,0.0,0.0,695.7,1,70,0,0,95942,1351,2099,4.0,1,1,1,1
95,0,0,1,4.0,1,11.34,1,1,3.0,22,0,0,0,0,0,0,0,1,3,1,1,77.688,74.7,0.0,0.0,11.34,1,69,0,0,95949,17922,3348,1.0,3,4,1,1
96,0,0,1,4.0,0,0.0,0,1,3.0,29,0,0,0,0,0,0,0,1,3,1,3,26.832,25.8,0.0,0.0,0.0,2,76,0,0,95959,17269,3884,1.0,2,1,1,1
97,0,0,10,4.0,1,41.37,1,1,2.0,15,0,0,0,0,1,1,0,0,3,1,1,99.164,898.35,0.0,135.0,413.7,1,71,0,0,92027,48690,5353,1.0,1,0,1,1
98,0,0,3,4.0,1,30.14,0,1,3.0,7,0,0,0,0,0,0,0,0,3,0,1,46.8,127.1,0.0,9.0,90.42,2,76,0,0,92028,42239,4145,1.0,3,0,1,1
99,1,1,12,4.0,1,6.97,0,1,2.0,21,0,0,0,0,0,1,0,0,3,1,1,83.668,950.2,0.0,200.0,83.64,1,77,1,0,96052,1845,5374,1.0,1,0,1,1
100,0,0,2,4.0,1,6.51,0,1,3.0,12,0,1,0,0,0,0,0,1,3,1,1,77.688,165.4,0.0,0.0,13.02,1,74,0,0,96073,4931,2803,1.0,1,1,1,1
101,0,0,1,4.0,1,49.6,1,1,2.0,22,0,0,1,0,1,0,0,0,3,1,1,92.352,88.8,0.0,0.0,49.6,1,77,0,0,96084,459,3106,1.0,1,0,1,1
102,1,1,13,4.0,1,1.47,0,1,2.0,6,0,1,0,1,0,1,0,0,3,1,1,92.612,1169.35,0.0,70.0,19.11,1,76,1,0,92130,28201,3861,1.0,1,0,1,1
103,0,0,23,4.0,1,31.17,0,1,1.0,25,0,1,0,0,1,1,0,0,3,1,1,98.54,2293.6,0.0,573.0,716.9100000000001,2,77,0,0,92130,28201,2740,1.0,4,1,1,1
104,1,1,17,4.0,1,36.82,1,1,1.0,7,1,0,1,0,0,0,0,0,3,1,1,88.764,1463.45,0.0,102.0,625.94,2,80,1,0,92130,28201,3209,1.0,1,0,1,1
105,0,0,17,4.25,1,40.93,0,1,1.0,2,0,0,0,0,0,0,0,1,3,1,1,46.852,770.6,0.0,0.0,695.81,1,68,0,0,92130,28201,3797,1.0,0,0,1,1
106,0,0,42,4.5,1,9.53,1,1,1.0,19,0,0,0,0,1,0,0,0,3,1,1,88.03600000000002,3541.35,0.0,673.0,400.26,2,79,0,0,92130,28201,4871,1.0,3,0,1,1
107,0,0,1,4.75,1,42.3,0,1,3.0,18,0,0,0,0,1,0,0,1,3,1,1,82.264,79.1,0.0,0.0,42.3,1,65,0,0,92130,28201,5001,1.0,2,1,1,1
108,0,0,1,5.0,1,39.78,0,1,2.0,13,0,0,1,0,0,0,0,0,3,1,3,52.156,50.15,0.0,0.0,39.78,1,68,0,0,92121,4258,3438,1.0,2,0,1,1
109,0,0,1,5.0,1,34.51,0,1,2.0,16,0,0,0,0,0,0,0,1,3,1,1,72.384,69.6,0.0,0.0,34.51,2,72,0,0,90254,18693,3438,1.0,1,4,1,1
110,0,0,41,5.0,1,27.95,1,1,2.0,25,1,1,1,0,1,1,1,0,3,1,1,117.728,4689.5,0.0,1172.0,1145.95,2,66,0,0,90620,44442,3380,4.0,2,0,1,1
111,0,0,13,5.0,1,26.11,0,1,2.0,4,0,0,0,0,1,1,1,0,3,1,1,94.12,1201.15,29.84,48.0,339.43,1,68,0,0,90621,33528,5394,1.0,1,3,1,1
